name,size,rent,status,city,server
Coastwood 1,16 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 10,26 sqm,80k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 2,16 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 3,22 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 4,19 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 5,26 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 6 (Shop),29 sqm,80k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 7,12 sqm,25k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 8,21 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Coastwood 9,17 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 1,28 sqm,100k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 2a,17 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 2b,17 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 3a,17 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 3b,32 sqm,80k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 4a,17 sqm,25k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow 4b,17 sqm,25k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Great Willow Western Wing,53 sqm,100k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Mangrove 1,31 sqm,80k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Mangrove 2,25 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Mangrove 3,21 sqm,80k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
Mangrove 4,17 sqm,50k gold,auctioned (no bid yet),Ab'Dendriel,Aethera
